Date,SKU,Name,Brand,Average Rating,Rating Count,Sponsored,Price,Sales Price,Express,Link,Discount
6-10-2024,Z54B10CD732976EE884EEZ,"Yoga Mat Non Slip, Pilates Fitness Mats, Anti-Tear 72""x 31.5"" x 0.6"" Thick Yoga Mats for Women, Exercise Mats for Yoga Pilates Home Floor Workout with Carrying Sling and Storage Bag…",GROIC,4.7,4,N,123.95,38.42450000000001,Y,https://www.noon.com/uae-en/yoga-mat-non-slip-pilates-fitness-mats-anti-tear-72-x-31-5-x-0-6-thick-yoga-mats-for-women-exercise-mats-for-yoga-pilates-home-floor-workout-with-carrying-sling-and-storage-bag/Z54B10CD732976EE884EEZ/p/?o=z54b10cd732976ee884eez-1,69% Off
6-10-2024,N16529620A,heart Yoga Ball With Air Pump - 75 cm 75cm…,body,4.1,58,N,31.6,24.332,Y,https://www.noon.com/uae-en/yoga-ball-with-air-pump-75-cm-75cm/N16529620A/p/?o=ab7c0dd5c45dd4cb,23% Off
6-10-2024,N21462859A,4 Packs Cooling Towel 0.08X39.4X11.4inch…,U-pick,4.2,84,N,24.65,19.9665,Y,https://www.noon.com/uae-en/4-packs-cooling-towel-0-08x39-4x11-4inch/N21462859A/p/?o=e1aa16341fd9ce5e,19% Off
6-10-2024,ZB83DFD7A7A480B6A3D7AZ,Yoga Mats Anti-slip Sport Fitness Mat Blanket For Exercise Yoga And Pilates Gymnastics Mat Fitness Equipment 6mm…,Spall,4.0,1,N,37.0,27.38,Y,https://www.noon.com/uae-en/yoga-mats-anti-slip-sport-fitness-mat-blanket-for-exercise-yoga-and-pilates-gymnastics-mat-fitness-equipment-6mm/ZB83DFD7A7A480B6A3D7AZ/p/?o=zb83dfd7a7a480b6a3d7az-1,26% Off
6-10-2024,N27330532A,World Yoga Mat 1meter…,Fitness,4.4,88,N,39.75,39.75,Y,https://www.noon.com/uae-en/yoga-mat-1meter/N27330532A/p/?o=b9b77fe99f710c6e,0% off
6-10-2024,ZE9BC56837C893BAD2931Z,"FITNESS Thick Yoga Mat 8mm - Knees Supportive Exercise Mat - for Yoga, Pilates, Fitness Exercises and Home Exercise Fitness Mat - Non-Slip Yoga Gym Mat With Carrying Bag - 183*66cm (Gold/Black)…",RIGID,4.5,47,N,95.5,70.67,Y,https://www.noon.com/uae-en/thick-yoga-mat-8mm-knees-supportive-exercise-mat-for-yoga-pilates-fitness-exercises-and-home-exercise-fitness-mat-non-slip-yoga-gym-mat-with-carrying-bag-183-66cm-gold-black/ZE9BC56837C893BAD2931Z/p/?o=ze9bc56837c893bad2931z-1,26% Off
6-10-2024,Z27B189348DAD2773CDD0Z,"FITNESS Microfiber Gym Towel - Face Towel, Yoga Towel - Quick Dry & High Absorbent Sweat Towel For Gym Exercises and Outdoor - Thick 400Gsm - 75x35cm-Blue…",RIGID,5.0,8,N,45.75,45.75,Y,https://www.noon.com/uae-en/microfiber-gym-towel-face-towel-yoga-towel-quick-dry-high-absorbent-sweat-towel-for-gym-exercises-and-outdoor-thick-400gsm-75x35cm-blue/Z27B189348DAD2773CDD0Z/p/?o=f5b7d1fb1532282d,0% off
6-10-2024,ZC7C1017CDFCAC890274CZ,MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners Light Green+Black…,MahMir,4.3,27,N,49.95,35.964,Y,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-light-green-black/ZC7C1017CDFCAC890274CZ/p/?o=zc7c1017cdfcac890274cz-1,28% Off
6-10-2024,Z1E5046A9D0B565D29FABZ,EPP Foam Roller 5 Piece Yoga Foam Roller Set Massage Foam Roller and Ball Massage foam suit for Muscle Massage and Fitness Sports…,RIOXS,0,0,N,69.0,69.0,Y,https://www.noon.com/uae-en/epp-foam-roller-5-piece-yoga-foam-roller-set-massage-foam-roller-and-ball-massage-foam-suit-for-muscle-massage-and-fitness-sports/Z1E5046A9D0B565D29FABZ/p/?o=fd818a34ce7a1c1d,0% off
6-10-2024,ZDB483D62227AFCDCAD2BZ,"Travel Yoga Mat, Non Slip Exercise Suede Mat with Carry Bag, All-Purpose Fitness Mat with High Density Anti-Tear Surface for Women, Ideal for Pilates Workout…",ShebSheb,3.6,6,N,69.9,69.9,Y,https://www.noon.com/uae-en/travel-yoga-mat-non-slip-exercise-suede-mat-with-carry-bag-all-purpose-fitness-mat-with-high-density-anti-tear-surface-for-women-ideal-for-pilates-workout/ZDB483D62227AFCDCAD2BZ/p/?o=cd3a3a68b782cc5f,0% off
6-10-2024,ZA6A106027233DA7D7739Z,"Women's Yoga Socks, Split-Toe Non-Slip Socks Pilates Socks Five-Toe Sports Socks - Black…",HaveDream,0,0,N,23.0,19.09,Y,https://www.noon.com/uae-en/women-s-yoga-socks-split-toe-non-slip-socks-pilates-socks-five-toe-sports-socks-black/ZA6A106027233DA7D7739Z/p/?o=za6a106027233da7d7739z-1,17% Off
6-10-2024,N34539674A,mat Foldable Non-Slip Yoga Mat 6mm…,yoga,4.4,438,N,32.5,32.5,Y,https://www.noon.com/uae-en/foldable-non-slip-yoga-mat-6mm/N34539674A/p/?o=f24deeae2ac03f2b,0% off
6-10-2024,Z603FF8FD1BFB572D8D9FZ,"Yoga Mat for Women and Men, Extra Long and Wide Exercise Mat(72""x24""), Large Non Slip Workout Mat for Yoga, Pilates, Fitness, Barefoot Workouts, Home Gym Studio…",URbazaar,0,0,N,54.9,50.508,Y,https://www.noon.com/uae-en/yoga-mat-for-women-and-men-extra-long-and-wide-exercise-mat-72-x24-large-non-slip-workout-mat-for-yoga-pilates-fitness-barefoot-workouts-home-gym-studio/Z603FF8FD1BFB572D8D9FZ/p/?o=z603ff8fd1bfb572d8d9fz-1,8% Off
6-10-2024,N34539642A,mat Foldable Non-Slip Yoga Mat…,yoga,4.8,26,N,30.05,25.843,Y,https://www.noon.com/uae-en/foldable-non-slip-yoga-mat/N34539642A/p/?o=c72e5437ab4bdffe,14% Off
6-10-2024,ZC462B190BD7C61A1331AZ,2Mm Foldable Cranberry Point Yoga Mat…,Gaiam,5.0,1,N,39.0,12.479999999999999,Y,https://www.noon.com/uae-en/2mm-foldable-cranberry-point-yoga-mat/ZC462B190BD7C61A1331AZ/p/?o=c966739980623e7b,68% Off
6-10-2024,N48797189A,Baby Yoga Foam Roller…,Cool,4.4,14,N,42.25,15.209999999999999,Y,https://www.noon.com/uae-en/yoga-foam-roller/N48797189A/p/?o=c194847cd94e357c,64% Off
6-10-2024,ZF12EE3B5F1EF3A193C60Z,"MELA Non-Slip Yoga Mat for Home Gym - 6mm Thick, Eco-Friendly TPE, Cushioned Exercise Mat with Carry Strap - Perfect for Yoga, Pilates, Fitness Training, & Gymnastics Essentials - Blue…",MELA,0,0,N,79.95,54.366,Y,https://www.noon.com/uae-en/mela-non-slip-yoga-mat-for-home-gym-6mm-thick-eco-friendly-tpe-cushioned-exercise-mat-with-carry-strap-perfect-for-yoga-pilates-fitness-training-gymnastics-essentials-blue/ZF12EE3B5F1EF3A193C60Z/p/?o=zf12ee3b5f1ef3a193c60z-1,32% Off
6-10-2024,Z6744CF0C300C15718ECAZ,"12 Pack Puzzle Exercise Floor Mat, EVA Foam Mats with Interlocking Floor Tiles, 12'' x 12'' Foam Gym Mat, Protective Flooring Mats Interlocking for Home and Gym Equipment…",GROIC,3.1,5,N,81.6,33.456,Y,https://www.noon.com/uae-en/12-pack-puzzle-exercise-floor-mat-eva-foam-mats-with-interlocking-floor-tiles-12-x-12-foam-gym-mat-protective-flooring-mats-interlocking-for-home-and-gym-equipment/Z6744CF0C300C15718ECAZ/p/?o=z6744cf0c300c15718ecaz-1,59% Off
6-10-2024,N42326497A,Adjustable Anti-Gravity Home Aerial Yoga Hammock Swing Trapeze Inversion Tool 250*150cm…,Generic,0,0,Y,182.0,63.699999999999996,Y,https://www.noon.com/uae-en/adjustable-anti-gravity-home-aerial-yoga-hammock-swing-trapeze-inversion-tool-250-150cm/N42326497A/p/?o=bb0af8063147934d,65% Off
6-10-2024,Z1FFBA90CF03B4E1CDF5CZ,"Mahmir® EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Light Blue)…",MahMir,3.1,3,Y,29.95,29.95,Y,https://www.noon.com/uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-light-blue/Z1FFBA90CF03B4E1CDF5CZ/p/?o=z1ffba90cf03b4e1cdf5cz-1,0% off
6-10-2024,Z6AA422C01041A12BF086Z,Extra Thick High Density Anti-Tear Exercise Yoga Mat…,Generic,5.0,2,Y,29.0,1.4500000000000013,Y,https://www.noon.com/uae-en/extra-thick-high-density-anti-tear-exercise-yoga-mat/Z6AA422C01041A12BF086Z/p/?o=z6aa422c01041a12bf086z-1,95% Off
6-10-2024,N20034889A,Anti-Tear Exercise Mat With Carrying Strap…,Generic,4.3,1.5K,N,35.2,5.280000000000001,Y,https://www.noon.com/uae-en/anti-tear-exercise-mat-with-carrying-strap/N20034889A/p/?o=f2d873be1dd8236b,85% Off
6-10-2024,N20034892A,Anti-Tear Exercise Mat With Carrying Strap 60x10cm…,Generic,4.3,1.4K,N,31.65,1.5825000000000014,Y,https://www.noon.com/uae-en/anti-tear-exercise-mat-with-carrying-strap-60x10cm/N20034892A/p/?o=fc5fc96b5ab2231d,95% Off
6-10-2024,Z4309655FA88AC7B8A209Z,"Multicolor Anti-Slip Fitness Exercise Gym Yoga Mats - 4mm Thick, 61x173cm, for Indoor and Outdoor Use…",Generic,0,0,Y,34.3,19.894000000000002,Y,https://www.noon.com/uae-en/multicolor-anti-slip-fitness-exercise-gym-yoga-mats-4mm-thick-61x173cm-for-indoor-and-outdoor-use/Z4309655FA88AC7B8A209Z/p/?o=z4309655fa88ac7b8a209z-1,42% Off
6-10-2024,Z30868C98E61D2ABA2621Z,"Mahmir® EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Pink)…",MahMir,4.0,8,Y,29.95,29.95,Y,https://www.noon.com/uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-pink/Z30868C98E61D2ABA2621Z/p/?o=z30868c98e61d2aba2621z-1,0% off
6-10-2024,Z24E1B5B4FDE8BB5C6111Z,"8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Pink/Black Color…",Bernessi,4.8,49,Y,69.9,30.057000000000006,Y,https://www.noon.com/uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-pink-black-color/Z24E1B5B4FDE8BB5C6111Z/p/?o=z24e1b5b4fde8bb5c6111z-1,57% Off
6-10-2024,Z24E1B5B4FDE8BB5C6111Z,"8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Pink/Black Color…",Bernessi,4.8,49,N,69.9,30.057000000000006,Y,https://www.noon.com/uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-pink-black-color/Z24E1B5B4FDE8BB5C6111Z/p/?o=z24e1b5b4fde8bb5c6111z-1,57% Off
6-10-2024,N20034893A,Anti-Tear Exercise Mat With Carrying Strap…,Generic,4.5,1.1K,N,34.7,5.205000000000001,Y,https://www.noon.com/uae-en/anti-tear-exercise-mat-with-carrying-strap/N20034893A/p/?o=d6f1ea275e88dc5d,85% Off
6-10-2024,N16718794A,Anti Skid Yoga Mat…,Emfil,4.5,381,N,27.0,22.68,Y,https://www.noon.com/uae-en/anti-skid-yoga-mat/N16718794A/p/?o=a573f487ed6990be,16% Off
6-10-2024,Z6AA422C01041A12BF086Z,Extra Thick High Density Anti-Tear Exercise Yoga Mat…,Generic,5.0,2,N,29.0,1.4500000000000013,Y,https://www.noon.com/uae-en/extra-thick-high-density-anti-tear-exercise-yoga-mat/Z6AA422C01041A12BF086Z/p/?o=z6aa422c01041a12bf086z-1,95% Off
6-10-2024,N20034894A,Anti-Tear Exercise Mat With Carrying Strap 60x10cm…,Generic,4.2,378,N,32.65,1.6325000000000014,Y,https://www.noon.com/uae-en/anti-tear-exercise-mat-with-carrying-strap-60x10cm/N20034894A/p/?o=e1ae8e57cd02e6fb,95% Off
6-10-2024,Z184FBC1B30D0C5DACA2DZ,Stretch Strap with Exercise Guide Versatile Multi-Loop Perfect for Yoga Pilates and Physical Therapy Portable Helps Improve Flexibility…,ORiTi,4.6,2,Y,28.0,28.0,Y,https://www.noon.com/uae-en/stretch-strap-with-exercise-guide-versatile-multi-loop-perfect-for-yoga-pilates-and-physical-therapy-portable-helps-improve-flexibility/Z184FBC1B30D0C5DACA2DZ/p/?o=z184fbc1b30d0c5daca2dz-1,0% off
6-10-2024,Z603FF8FD1BFB572D8D9FZ,"Yoga Mat for Women and Men, Extra Long and Wide Exercise Mat(72""x24""), Large Non Slip Workout Mat for Yoga, Pilates, Fitness, Barefoot Workouts, Home Gym Studio…",URbazaar,0,0,Y,54.9,50.508,Y,https://www.noon.com/uae-en/yoga-mat-for-women-and-men-extra-long-and-wide-exercise-mat-72-x24-large-non-slip-workout-mat-for-yoga-pilates-fitness-barefoot-workouts-home-gym-studio/Z603FF8FD1BFB572D8D9FZ/p/?o=z603ff8fd1bfb572d8d9fz-1,8% Off
6-10-2024,ZB6A26C6FF922D524ABBAZ,MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners Black+Light Grey…,MahMir,5.0,11,N,47.45,37.96,Y,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-black-light-grey/ZB6A26C6FF922D524ABBAZ/p/?o=zb6a26c6ff922d524abbaz-1,20% Off
6-10-2024,Z5B557BA405F39E1C40DEZ,MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners (Pink + Light Grey)…,MahMir,4.6,18,N,49.95,35.964,Y,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-pink-light-grey/Z5B557BA405F39E1C40DEZ/p/?o=z5b557ba405f39e1c40dez-1,28% Off
6-10-2024,N32659054A,Non-Slip Cotton Socks 21x1x9cm…,Generic,4.3,81,N,19.9,19.9,Y,https://www.noon.com/uae-en/non-slip-cotton-socks-21x1x9cm/N32659054A/p/?o=a8470bd352b1aaaf,0% off
6-10-2024,Z4DDA125062C7766547DDZ,MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners ( Purple + Pink)…,MahMir,4.4,21,N,49.95,35.964,Y,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-purple-pink/Z4DDA125062C7766547DDZ/p/?o=z4dda125062c7766547ddz-1,28% Off
6-10-2024,Z5BB144BA6576302F7275Z,MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners (Green + Black)…,MahMir,4.8,7,N,49.95,35.964,Y,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-green-black/Z5BB144BA6576302F7275Z/p/?o=z5bb144ba6576302f7275z-1,28% Off
6-10-2024,N16273426A,Rocket Abdominal Trainer Wheel Roller With Knee Mat…,Ab,4.3,357,N,24.0,24.0,Y,https://www.noon.com/uae-en/abdominal-trainer-wheel-roller-with-knee-mat/N16273426A/p/?o=f35bc3ad327d85ab,0% off
6-10-2024,N22815219A,Store Anti Burst Sports Swiss Yoga Aerobic Body Fitness Ball 65cm…,Kanteen,4.4,275,N,32.0,23.36,Y,https://www.noon.com/uae-en/anti-burst-sports-swiss-yoga-aerobic-body-fitness-ball-65cm/N22815219A/p/?o=ecdeba83617ac31e,27% Off
6-10-2024,ZE5D98E2FD55A24417BE7Z,Anti Slip Fitness Exercise Gym Yoga Mats 4mm Thick For indoor And Outdoor 61x173cm…,Toshionics,0,0,Y,31.25,16.5625,Y,https://www.noon.com/uae-en/anti-slip-fitness-exercise-gym-yoga-mats-4mm-thick-for-indoor-and-outdoor-61x173cm/ZE5D98E2FD55A24417BE7Z/p/?o=ze5d98e2fd55a24417be7z-1,47% Off
6-10-2024,Z5556A4895CC44B536812Z,"Anti-Slip Fitness Exercise Gym Yoga Mats - 4mm Thick, 61x173cm, for Indoor and Outdoor Use…",Generic,0,0,Y,37.55,23.656499999999998,Y,https://www.noon.com/uae-en/anti-slip-fitness-exercise-gym-yoga-mats-4mm-thick-61x173cm-for-indoor-and-outdoor-use/Z5556A4895CC44B536812Z/p/?o=z5556a4895cc44b536812z-1,37% Off
6-10-2024,ZFF6D1886AAD421874DF1Z,Anti Slip Fitness Exercise Gym Yoga Mats 4mm Thick For indoor And Outdoor 61x173cm Multicolor…,Toshionics,3.7,3,Y,31.75,16.8275,Y,https://www.noon.com/uae-en/anti-slip-fitness-exercise-gym-yoga-mats-4mm-thick-for-indoor-and-outdoor-61x173cm-multicolor/ZFF6D1886AAD421874DF1Z/p/?o=zff6d1886aad421874df1z-1,47% Off
6-10-2024,N16273364A,Yoga Mat Blue 62.6cm…,Emfil,4.5,358,N,31.95,25.560000000000002,Y,https://www.noon.com/uae-en/yoga-mat-blue-62-6cm/N16273364A/p/?o=f1c2f07384046eef,20% Off
6-10-2024,N27330175A,World Anti-Slip Yoga Mat With Carry Strap…,Fitness,4.1,212,N,35.2,35.2,Y,https://www.noon.com/uae-en/anti-slip-yoga-mat-with-carry-strap/N27330175A/p/?o=f2f2a89d50d79c1a,0% off
6-10-2024,ZECB29782C8C4BD506B8EZ,"MELA Non-Slip Yoga Mat for Home Gym - 6mm Thick, Eco-Friendly TPE, Cushioned Exercise Mat with Carry Strap - Perfect for Yoga, Pilates, Fitness Training, & Gymnastics Essentials - Beige…",MELA,0,0,N,79.9,54.332,Y,https://www.noon.com/uae-en/mela-non-slip-yoga-mat-for-home-gym-6mm-thick-eco-friendly-tpe-cushioned-exercise-mat-with-carry-strap-perfect-for-yoga-pilates-fitness-training-gymnastics-essentials-beige/ZECB29782C8C4BD506B8EZ/p/?o=zecb29782c8c4bd506b8ez-1,32% Off
6-10-2024,N22815201A,Fitness Resistance Band Yoga Pull Rope 120cm…,Generic,4.5,23,N,49.0,49.0,Y,https://www.noon.com/uae-en/fitness-resistance-band-yoga-pull-rope-120cm/N22815201A/p/?o=f68c757752c6214b,0% off
6-10-2024,ZC462B190BD7C61A1331AZ,2Mm Foldable Cranberry Point Yoga Mat…,Gaiam,5.0,1,N,39.0,12.479999999999999,Y,https://www.noon.com/uae-en/2mm-foldable-cranberry-point-yoga-mat/ZC462B190BD7C61A1331AZ/p/?o=c966739980623e7b,68% Off
6-10-2024,Z83C8A1AAB21D372A0063Z,MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners (Dark Grey + Black)…,MahMir,4.5,28,N,49.95,35.964,Y,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-dark-grey-black/Z83C8A1AAB21D372A0063Z/p/?o=z83c8a1aab21d372a0063z-1,28% Off
6-10-2024,Z6F017D6BFD3A1CEC123EZ,Fittex Tough Non-Slip 10mm Thick Yoga Mat with Carry Strap 188x61x1cm Black…,Generic,4.7,3,N,31.25,20.0,Y,https://www.noon.com/uae-en/fittex-tough-non-slip-10mm-thick-yoga-mat-with-carry-strap-188x61x1cm-black/Z6F017D6BFD3A1CEC123EZ/p/?o=z6f017d6bfd3a1cec123ez-1,36% Off
6-10-2024,N24047301A,6mm Thick Yoga Mat Durable Non-Slip - Blue…,Generic,3.9,32,N,19.8,19.8,Y,https://www.noon.com/uae-en/6mm-thick-yoga-mat-durable-non-slip-blue/N24047301A/p/?o=a0f3bbe4df87ed4b,0% off
6-10-2024,N20034890A,Anti-Tear Exercise Mat With Carrying Strap…,Generic,4.4,1.2K,N,29.0,21.75,Y,https://www.noon.com/uae-en/anti-tear-exercise-mat-with-carrying-strap/N20034890A/p/?o=dcdc5649abb4a30f,25% Off
6-10-2024,N16543648A,Yoga Fitness Exercise Ball With Air Pump 65cm…,Generic,4.4,581,N,39.15,39.15,Y,https://www.noon.com/uae-en/yoga-fitness-exercise-ball-with-air-pump-65cm/N16543648A/p/?o=f2e26fb1dc4ee19f,0% off
