Date,SKU,Name,Brand,Average Rating,Rating Count,Sponsored,Price,Sales Price,Express,Link,Discount
6-10-2024,ZE9BC56837C893BAD2931Z,"FITNESS Thick Yoga Mat 8mm - Knees Supportive Exercise Mat - for Yoga, Pilates, Fitness Exercises and Home Exercise Fitness Mat - Non-Slip Yoga Gym Mat With Carrying Bag - 183*66cm (Gold/Black)…",RIGID,4.5,47,N,95.5,70.67,Y,https://www.noon.com/uae-en/thick-yoga-mat-8mm-knees-supportive-exercise-mat-for-yoga-pilates-fitness-exercises-and-home-exercise-fitness-mat-non-slip-yoga-gym-mat-with-carrying-bag-183-66cm-gold-black/ZE9BC56837C893BAD2931Z/p/?o=ze9bc56837c893bad2931z-1,26% Off
6-10-2024,ZC7C1017CDFCAC890274CZ,MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners Light Green+Black…,MahMir,4.3,27,N,49.95,35.964,Y,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-light-green-black/ZC7C1017CDFCAC890274CZ/p/?o=zc7c1017cdfcac890274cz-1,28% Off
6-10-2024,Z6FC94A5DBD1A7D980F19Z,MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners (Dark Blue + Light Blue)…,MahMir,4.5,24,N,49.0,34.79,Y,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-dark-blue-light-blue/Z6FC94A5DBD1A7D980F19Z/p/?o=z6fc94a5dbd1a7d980f19z-1,29% Off
6-10-2024,N11005258A,SCULPTURE Yoga And Exercise Mat With Strap 6ml…,BODY,4.3,3,N,42.85,23.567500000000003,Y,https://www.noon.com/uae-en/yoga-and-exercise-mat-with-strap-6ml/N11005258A/p/?o=fc937d235888d83b,45% Off
6-10-2024,N18842096A,Aerobics Yoga Ball - 55 cm 55cm…,Generic,4.6,99,N,26.05,26.05,Y,https://www.noon.com/uae-en/aerobics-yoga-ball-55-cm-55cm/N18842096A/p/?o=d3454485eee5765f,0% off
6-10-2024,N43426712A,Back Massager Stretcher 40x25x3cm…,Generic,3.7,99,N,14.0,6.859999999999999,Y,https://www.noon.com/uae-en/back-massager-stretcher-40x25x3cm/N43426712A/p/?o=fd12b7059f979fdd,51% Off
6-10-2024,N22816220A,Yoga Mat…,Generic,4.7,83,N,33.0,33.0,Y,https://www.noon.com/uae-en/yoga-mat/N22816220A/p/?o=d35a0cada5e88dff,0% off
6-10-2024,ZBCE778416BAE21D1E4CCZ,Set of 2 Yoga Blocks EVA Foam High Density Non Slip Yoga Bricks For Meditation Balance Exercise…,WENBO,5.0,1,Y,39.0,39.0,Y,https://www.noon.com/uae-en/set-of-2-yoga-blocks-eva-foam-high-density-non-slip-yoga-bricks-for-meditation-balance-exercise/ZBCE778416BAE21D1E4CCZ/p/?o=zbce778416bae21d1e4ccz-1,0% off
6-10-2024,Z8171D9598AFA21212858Z,"Multipurpose Gym Duffel Bag,Portable Luggage Handbag,Wet and Dry Separation,Shoes Compartment,Crossbody Bag for Women Yoga Sports Travel,Peach Pink…",TNGames,0,0,Y,46.0,46.0,Y,https://www.noon.com/uae-en/multipurpose-gym-duffel-bag-portable-luggage-handbag-wet-and-dry-separation-shoes-compartment-crossbody-bag-for-women-yoga-sports-travel-peach-pink/Z8171D9598AFA21212858Z/p/?o=z8171d9598afa21212858z-1,0% off
6-10-2024,ZFC4F2BC1E9DC7B33305BZ,"Qiccijoo Ankle Weights Set 1 Pair 4kg(8.8lb) Workout Ankle Weights for Women or Men Wrist Leg Weights for Fitness,Running,Walking,2*2kg(4.4lb) - Blue…",Qiccijoo,0,0,Y,89.0,89.0,Y,https://www.noon.com/uae-en/qiccijoo-ankle-weights-set-1-pair-4kg-8-8lb-workout-ankle-weights-for-women-or-men-wrist-leg-weights-for-fitness-running-walking-2-2kg-4-4lb-blue/ZFC4F2BC1E9DC7B33305BZ/p/?o=zfc4f2bc1e9dc7b33305bz-1,0% off
6-10-2024,N23818583A,Half-Toe Non Slip Yoga Socks…,Generic,4.3,313,N,9.4,7.99,Y,https://www.noon.com/uae-en/half-toe-non-slip-yoga-socks/N23818583A/p/?o=c6785facb56f98fc,15% Off
6-10-2024,Z54B10CD732976EE884EEZ,"Yoga Mat Non Slip, Pilates Fitness Mats, Anti-Tear 72""x 31.5"" x 0.6"" Thick Yoga Mats for Women, Exercise Mats for Yoga Pilates Home Floor Workout with Carrying Sling and Storage Bag…",GROIC,4.7,4,N,123.95,38.42450000000001,Y,https://www.noon.com/uae-en/yoga-mat-non-slip-pilates-fitness-mats-anti-tear-72-x-31-5-x-0-6-thick-yoga-mats-for-women-exercise-mats-for-yoga-pilates-home-floor-workout-with-carrying-sling-and-storage-bag/Z54B10CD732976EE884EEZ/p/?o=z54b10cd732976ee884eez-1,69% Off
6-10-2024,Z30868C98E61D2ABA2621Z,"Mahmir® EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Pink)…",MahMir,4.0,8,N,29.95,29.95,Y,https://www.noon.com/uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-pink/Z30868C98E61D2ABA2621Z/p/?o=f86054bcf9ab9e2f,0% off
6-10-2024,N34539048A,mat Foldable Non-Slip Yoga Mat…,yoga,4.4,73,N,30.0,30.0,Y,https://www.noon.com/uae-en/foldable-non-slip-yoga-mat/N34539048A/p/?o=be98d7b45df2fcca,0% off
6-10-2024,Z6F4C6B975B77B9D3D8E4Z,Yoga Socks for Women Non Slip Grips & Straps 3 Pairs Multicolor Dance Pilates Barre Barefoot Workout…,Generic,4.7,21,N,31.2,24.96,Y,https://www.noon.com/uae-en/yoga-socks-for-women-non-slip-grips-straps-3-pairs-multicolor-dance-pilates-barre-barefoot-workout/Z6F4C6B975B77B9D3D8E4Z/p/?o=z6f4c6b975b77b9d3d8e4z-1,20% Off
6-10-2024,N18842300A,Aerobics Exercise Ball - 55 cm 55cm…,Generic,4.2,68,N,30.4,30.4,Y,https://www.noon.com/uae-en/aerobics-exercise-ball-55-cm-55cm/N18842300A/p/?o=f6d263a5f498339b,0% off
6-10-2024,N43426642A,Men Waist Trainer Vest Neoprene Body Zipper 25x21x3cm…,Generic,3.2,10,N,15.6,8.268,Y,https://www.noon.com/uae-en/men-waist-trainer-vest-neoprene-body-zipper-25x21x3cm/N43426642A/p/?o=a59ea147b56b4efc,47% Off
6-10-2024,N38544352A,Builder Body Builder Yoga Roller 42x14x14cm…,Body,4.5,35,N,27.4,20.002,Y,https://www.noon.com/uae-en/body-builder-yoga-roller-42x14x14cm/N38544352A/p/?o=cc0cf21e314b206d,27% Off
6-10-2024,N36414247A,Non-Slip Yoga Mat With Carrying Strap…,Generic,4.0,18,N,32.35,27.4975,Y,https://www.noon.com/uae-en/non-slip-yoga-mat-with-carrying-strap/N36414247A/p/?o=c4ec081ffbb1df3c,15% Off
6-10-2024,N34539702A,mat Foldable Non-Slip Yoga Mat…,yoga,4.3,140,N,36.4,34.215999999999994,Y,https://www.noon.com/uae-en/foldable-non-slip-yoga-mat/N34539702A/p/?o=e0fa937473a1625d,6% Off
6-10-2024,Z3859B43C495F32F447DCZ,"Yoga Mat Non Slip,Yoga Mat with Strap Included 10mm Thick Exercise Mat Yoga and Many Other Home Workouts…",Spall,4.8,4,N,35.0,15.399999999999999,Y,https://www.noon.com/uae-en/yoga-mat-non-slip-yoga-mat-with-strap-included-10mm-thick-exercise-mat-yoga-and-many-other-home-workouts/Z3859B43C495F32F447DCZ/p/?o=z3859b43c495f32f447dcz-1,56% Off
6-10-2024,N18580253A,Latex Elastic Training Loop…,Generic,4.1,19,N,22.95,22.95,Y,https://www.noon.com/uae-en/latex-elastic-training-loop/N18580253A/p/?o=e8462604e78b5ecc,0% off
6-10-2024,Z184FBC1B30D0C5DACA2DZ,Stretch Strap with Exercise Guide Versatile Multi-Loop Perfect for Yoga Pilates and Physical Therapy Portable Helps Improve Flexibility…,ORiTi,4.6,2,N,28.0,28.0,Y,https://www.noon.com/uae-en/stretch-strap-with-exercise-guide-versatile-multi-loop-perfect-for-yoga-pilates-and-physical-therapy-portable-helps-improve-flexibility/Z184FBC1B30D0C5DACA2DZ/p/?o=ba48ce0bf65a2c5f,0% off
6-10-2024,N15686964A,Pilates And Yoga Rubber Resistance Band…,QiaoKai,3.7,50,N,18.75,18.75,Y,https://www.noon.com/uae-en/pilates-and-yoga-rubber-resistance-band/N15686964A/p/?o=fab8abbb78d9beab,0% off
6-10-2024,N30510957A,Set Of 2 Yoga Block Props Brick…,Generic,4.7,35,N,24.7,24.7,Y,https://www.noon.com/uae-en/set-of-2-yoga-block-props-brick/N30510957A/p/?o=da284812d39a3a2c,0% off
6-10-2024,N34539642A,mat Foldable Non-Slip Yoga Mat…,yoga,4.8,26,N,30.05,25.843,Y,https://www.noon.com/uae-en/foldable-non-slip-yoga-mat/N34539642A/p/?o=c72e5437ab4bdffe,14% Off
6-10-2024,N41312620A,Builder Yoga Roller Column 33cm…,Body,4.6,10,N,25.9,21.238,Y,https://www.noon.com/uae-en/yoga-roller-column-33cm/N41312620A/p/?o=df6fa9f37801065e,18% Off
6-10-2024,Z182933F3500879193E71Z,"6 Pack Puzzle Exercise Floor Mat, EVA Foam Mats with Interlocking Floor Tiles, 12'' x 12'' Foam Gym Mat, Protective Flooring Mats Interlocking for Home and Gym Equipment…",GROIC,2.8,3,N,52.3,14.121,Y,https://www.noon.com/uae-en/6-pack-puzzle-exercise-floor-mat-eva-foam-mats-with-interlocking-floor-tiles-12-x-12-foam-gym-mat-protective-flooring-mats-interlocking-for-home-and-gym-equipment/Z182933F3500879193E71Z/p/?o=z182933f3500879193e71z-1,73% Off
6-10-2024,N42326497A,Adjustable Anti-Gravity Home Aerial Yoga Hammock Swing Trapeze Inversion Tool 250*150cm…,Generic,0,0,Y,182.0,63.699999999999996,Y,https://www.noon.com/uae-en/adjustable-anti-gravity-home-aerial-yoga-hammock-swing-trapeze-inversion-tool-250-150cm/N42326497A/p/?o=bb0af8063147934d,65% Off
6-10-2024,Z1FFBA90CF03B4E1CDF5CZ,"Mahmir® EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Light Blue)…",MahMir,3.1,3,Y,29.95,29.95,Y,https://www.noon.com/uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-light-blue/Z1FFBA90CF03B4E1CDF5CZ/p/?o=z1ffba90cf03b4e1cdf5cz-1,0% off
6-10-2024,Z6AA422C01041A12BF086Z,Extra Thick High Density Anti-Tear Exercise Yoga Mat…,Generic,5.0,2,Y,29.0,1.4500000000000013,Y,https://www.noon.com/uae-en/extra-thick-high-density-anti-tear-exercise-yoga-mat/Z6AA422C01041A12BF086Z/p/?o=z6aa422c01041a12bf086z-1,95% Off
6-10-2024,N20034889A,Anti-Tear Exercise Mat With Carrying Strap…,Generic,4.3,1.5K,N,35.2,5.280000000000001,Y,https://www.noon.com/uae-en/anti-tear-exercise-mat-with-carrying-strap/N20034889A/p/?o=f2d873be1dd8236b,85% Off
6-10-2024,Z24E1B5B4FDE8BB5C6111Z,"8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Pink/Black Color…",Bernessi,4.8,49,N,69.9,30.057000000000006,Y,https://www.noon.com/uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-pink-black-color/Z24E1B5B4FDE8BB5C6111Z/p/?o=z24e1b5b4fde8bb5c6111z-1,57% Off
6-10-2024,Z4309655FA88AC7B8A209Z,"Multicolor Anti-Slip Fitness Exercise Gym Yoga Mats - 4mm Thick, 61x173cm, for Indoor and Outdoor Use…",Generic,0,0,Y,34.3,19.894000000000002,Y,https://www.noon.com/uae-en/multicolor-anti-slip-fitness-exercise-gym-yoga-mats-4mm-thick-61x173cm-for-indoor-and-outdoor-use/Z4309655FA88AC7B8A209Z/p/?o=z4309655fa88ac7b8a209z-1,42% Off
6-10-2024,Z30868C98E61D2ABA2621Z,"Mahmir® EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Pink)…",MahMir,4.0,8,Y,29.95,29.95,Y,https://www.noon.com/uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-pink/Z30868C98E61D2ABA2621Z/p/?o=z30868c98e61d2aba2621z-1,0% off
6-10-2024,Z24E1B5B4FDE8BB5C6111Z,"8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Pink/Black Color…",Bernessi,4.8,49,Y,69.9,30.057000000000006,Y,https://www.noon.com/uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-pink-black-color/Z24E1B5B4FDE8BB5C6111Z/p/?o=z24e1b5b4fde8bb5c6111z-1,57% Off
6-10-2024,N20034892A,Anti-Tear Exercise Mat With Carrying Strap 60x10cm…,Generic,4.3,1.4K,N,31.65,1.5825000000000014,Y,https://www.noon.com/uae-en/anti-tear-exercise-mat-with-carrying-strap-60x10cm/N20034892A/p/?o=fc5fc96b5ab2231d,95% Off
6-10-2024,N20034893A,Anti-Tear Exercise Mat With Carrying Strap…,Generic,4.5,1.1K,N,34.7,5.205000000000001,Y,https://www.noon.com/uae-en/anti-tear-exercise-mat-with-carrying-strap/N20034893A/p/?o=d6f1ea275e88dc5d,85% Off
6-10-2024,Z6AA422C01041A12BF086Z,Extra Thick High Density Anti-Tear Exercise Yoga Mat…,Generic,5.0,2,N,29.0,1.4500000000000013,Y,https://www.noon.com/uae-en/extra-thick-high-density-anti-tear-exercise-yoga-mat/Z6AA422C01041A12BF086Z/p/?o=z6aa422c01041a12bf086z-1,95% Off
6-10-2024,N22815219A,Store Anti Burst Sports Swiss Yoga Aerobic Body Fitness Ball 65cm…,Kanteen,4.4,275,N,32.0,23.36,Y,https://www.noon.com/uae-en/anti-burst-sports-swiss-yoga-aerobic-body-fitness-ball-65cm/N22815219A/p/?o=ecdeba83617ac31e,27% Off
6-10-2024,Z5B557BA405F39E1C40DEZ,MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners (Pink + Light Grey)…,MahMir,4.6,18,N,49.95,35.964,Y,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-pink-light-grey/Z5B557BA405F39E1C40DEZ/p/?o=z5b557ba405f39e1c40dez-1,28% Off
6-10-2024,Z184FBC1B30D0C5DACA2DZ,Stretch Strap with Exercise Guide Versatile Multi-Loop Perfect for Yoga Pilates and Physical Therapy Portable Helps Improve Flexibility…,ORiTi,4.6,2,Y,28.0,28.0,Y,https://www.noon.com/uae-en/stretch-strap-with-exercise-guide-versatile-multi-loop-perfect-for-yoga-pilates-and-physical-therapy-portable-helps-improve-flexibility/Z184FBC1B30D0C5DACA2DZ/p/?o=z184fbc1b30d0c5daca2dz-1,0% off
6-10-2024,Z603FF8FD1BFB572D8D9FZ,"Yoga Mat for Women and Men, Extra Long and Wide Exercise Mat(72""x24""), Large Non Slip Workout Mat for Yoga, Pilates, Fitness, Barefoot Workouts, Home Gym Studio…",URbazaar,0,0,Y,54.9,50.508,Y,https://www.noon.com/uae-en/yoga-mat-for-women-and-men-extra-long-and-wide-exercise-mat-72-x24-large-non-slip-workout-mat-for-yoga-pilates-fitness-barefoot-workouts-home-gym-studio/Z603FF8FD1BFB572D8D9FZ/p/?o=z603ff8fd1bfb572d8d9fz-1,8% Off
6-10-2024,N16718794A,Anti Skid Yoga Mat…,Emfil,4.5,381,N,27.0,22.68,Y,https://www.noon.com/uae-en/anti-skid-yoga-mat/N16718794A/p/?o=a573f487ed6990be,16% Off
6-10-2024,N32659054A,Non-Slip Cotton Socks 21x1x9cm…,Generic,4.3,81,N,19.9,19.9,Y,https://www.noon.com/uae-en/non-slip-cotton-socks-21x1x9cm/N32659054A/p/?o=a8470bd352b1aaaf,0% off
6-10-2024,ZB6A26C6FF922D524ABBAZ,MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners Black+Light Grey…,MahMir,5.0,11,N,47.45,37.96,Y,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-black-light-grey/ZB6A26C6FF922D524ABBAZ/p/?o=zb6a26c6ff922d524abbaz-1,20% Off
6-10-2024,N27330175A,World Anti-Slip Yoga Mat With Carry Strap…,Fitness,4.1,212,N,35.2,35.2,Y,https://www.noon.com/uae-en/anti-slip-yoga-mat-with-carry-strap/N27330175A/p/?o=f2f2a89d50d79c1a,0% off
6-10-2024,Z6FC94A5DBD1A7D980F19Z,MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners (Dark Blue + Light Blue)…,MahMir,4.5,24,N,49.0,34.79,Y,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-dark-blue-light-blue/Z6FC94A5DBD1A7D980F19Z/p/?o=z6fc94a5dbd1a7d980f19z-1,29% Off
6-10-2024,ZC462B190BD7C61A1331AZ,2Mm Foldable Cranberry Point Yoga Mat…,Gaiam,5.0,1,N,39.0,12.479999999999999,Y,https://www.noon.com/uae-en/2mm-foldable-cranberry-point-yoga-mat/ZC462B190BD7C61A1331AZ/p/?o=c966739980623e7b,68% Off
6-10-2024,N20034894A,Anti-Tear Exercise Mat With Carrying Strap 60x10cm…,Generic,4.2,378,N,32.65,1.6325000000000014,Y,https://www.noon.com/uae-en/anti-tear-exercise-mat-with-carrying-strap-60x10cm/N20034894A/p/?o=e1ae8e57cd02e6fb,95% Off
6-10-2024,ZE5D98E2FD55A24417BE7Z,Anti Slip Fitness Exercise Gym Yoga Mats 4mm Thick For indoor And Outdoor 61x173cm…,Toshionics,0,0,Y,31.25,16.5625,Y,https://www.noon.com/uae-en/anti-slip-fitness-exercise-gym-yoga-mats-4mm-thick-for-indoor-and-outdoor-61x173cm/ZE5D98E2FD55A24417BE7Z/p/?o=ze5d98e2fd55a24417be7z-1,47% Off
6-10-2024,Z5556A4895CC44B536812Z,"Anti-Slip Fitness Exercise Gym Yoga Mats - 4mm Thick, 61x173cm, for Indoor and Outdoor Use…",Generic,0,0,Y,37.55,23.656499999999998,Y,https://www.noon.com/uae-en/anti-slip-fitness-exercise-gym-yoga-mats-4mm-thick-61x173cm-for-indoor-and-outdoor-use/Z5556A4895CC44B536812Z/p/?o=z5556a4895cc44b536812z-1,37% Off
6-10-2024,ZFF6D1886AAD421874DF1Z,Anti Slip Fitness Exercise Gym Yoga Mats 4mm Thick For indoor And Outdoor 61x173cm Multicolor…,Toshionics,3.7,3,Y,31.75,16.8275,Y,https://www.noon.com/uae-en/anti-slip-fitness-exercise-gym-yoga-mats-4mm-thick-for-indoor-and-outdoor-61x173cm-multicolor/ZFF6D1886AAD421874DF1Z/p/?o=zff6d1886aad421874df1z-1,47% Off
6-10-2024,Z576A0EBA8EADCC851199Z,"FITNESS Yoga Mat 6mm with Alignments - Anti-Slip TPE Yoga Mat with Carry Bag - Precision Alignment Lines, Double Colors, Lightweight & Durable for All Fitness Exercises- 183 * 66cm*0.6cm Thick…",RIGID,4.8,13,N,75.85,60.68,Y,https://www.noon.com/uae-en/yoga-mat-6mm-with-alignments-anti-slip-tpe-yoga-mat-with-carry-bag-precision-alignment-lines-double-colors-lightweight-durable-for-all-fitness-exercises-183-66cm-0-6cm-thick/Z576A0EBA8EADCC851199Z/p/?o=z576a0eba8eadcc851199z-1,20% Off
6-10-2024,ZC7C1017CDFCAC890274CZ,MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners Light Green+Black…,MahMir,4.3,27,N,49.95,35.964,Y,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-light-green-black/ZC7C1017CDFCAC890274CZ/p/?o=zc7c1017cdfcac890274cz-1,28% Off
